㐂	U+3402	6	キ・よろこぶ
㒵	U+34B5	7	ボウ
㓛	U+34DB	5	コウ・ク
㞍	U+378D	6	コウ・しり
㟢	U+37E2	11	さき
㬢	U+3B22	17	ギ
㮶	U+3BB6	14	サク
㯃	U+3BC3	15	シツ・シチ
㰏	U+3C0F	20	コウ
㸿	U+3E3F	11	トク・ドク・こうし
㽲	U+3F72	7	キュウ・ク
䉤	U+4264	19	ソウ・シュ・ス・やぶ・ざる・こめあげざる
䑓	U+4453	13	ダイ・うてな
䑛	U+445B	11	シ・ジ
䖝	U+459D	7	チュウ・むし
䗪	U+45EA	17	シャ
䡄	U+4844	9	キ
䦰	U+49B0	19	キュウ・キ・くじ
䰗	U+4C17	21	キュウ・ク
丨	U+4E28	1	コン・シ・ジョ・ニョ
丯	U+4E2F	4	カイ
丰	U+4E30	4	フウ・ホウ・ボウ・フ・ブ・みめよい
亍	U+4E8D	3	チョク・チク・チュ・カン・ほす・ひる
仡	U+4EE1	5	キツ・ギツ・ゴツ・いさましい
份	U+4EFD	6	ヒン・フン
仿	U+4EFF	6	ホウ・ボウ・ならう
伃	U+4F03	6	ヨ
伋	U+4F0B	6	キュウ・ハ・ゴウ
佈	U+4F48	7	ホ・フ
佉	U+4F49	7	キャ・キョ・コ・カ
佖	U+4F56	7	ヒツ・ビチ
佟	U+4F5F	7	トウ・ズ
你	U+4F60	7	ジ・ニ・なんじ
佪	U+4F6A	8	カイ・エ・さまよう
佬	U+4F6C	8	リョウ・ロ・ロウ
佾	U+4F7E	8	イツ
侊	U+4F8A	8	コウ
侔	U+4F94	8	ボウ・ム・ひとしい
侗	U+4F97	8	ドウ・トウ・ツ・ズ
俉	U+4FC9	9	ゴ・むかえる
俠	U+4FE0	9	キョウ・コウ・きゃん
俱	U+4FF1	10	グ・ク・ともに
倁	U+5001	10	チ・ジ
倂	U+5002	10	ヘイ・あわせる
倎	U+500E	10	テン
倘	U+5018	10	ショウ・トウ
倧	U+5027	10	ソウ・ス
倮	U+502E	10	ラ・カ・ゲ・はだか
倻	U+503B	11	ヤ
偀	U+5040	10	エイ
偁	U+5041	11	ショウ
傔	U+5094	12	ケン・したがう・つかえる・はべる
僌	U+50CC	13	ヨウ
僐	U+50D0	14	ゼン・セン
僦	U+50E6	14	シュウ・シュ・おくる・かりる・やとう
僲	U+50F2	14	セン
儃	U+5103	15	セン・タン・ゼン・ダン・たたずむ
儆	U+5106	14	ケイ・キョウ・ギョウ
儋	U+510B	15	タン・セン・ゼン・になう
儞	U+511E	16	ジ
儵	U+5135	19	シュク
兊	U+514A	6	タイ・ダ・よろこぶ
兕	U+5155	7	ジ・シ
兗	U+5157	9	エン
冝	U+519D	7	ギ・むべ・よい・よろしい・よろしく・べし
凃	U+51C3	9	ト・チョ・トウ・トオ
凊	U+51CA	10	セイ・ショウ・すずしい
凞	U+51DE	16	キ・やわらぐ
凢	U+51E2	3	ハン・ボン
凮	U+51EE	8	フウ
刁	U+5201	2	チョウ
刓	U+5213	6	ガン・けずる・すりへる
刕	U+5215	6	レイ・リ・ライ・さく
剉	U+5249	9	ザ・サ・くじく・きる
剗	U+5257	10	サン・セン・けずる
剝	U+525D	10	ハク・ホク・さく・はがれる・はぐ・はげる・むく・すく
剡	U+5261	10	エン・セン・かんぬき・けずる・するどい
劓	U+5293	16	ギ・ケイ・はなきり・はなきる
勈	U+52C8	9	ユウ・ヨウ
勌	U+52CC	10	ケン・ゲン・カン・うむ
勐	U+52D0	10	ボウ
勖	U+52D6	11	キョク・コク・ボウ・つとめる
勛	U+52DB	12	クン・いさお
勰	U+52F0	15	キョウ・ギョウ・やわらぐ
勻	U+52FB	4	イン・キン・ととのう・ひとしい
匀	U+5300	4	イン・ととのう
匇	U+5307	5	ソウ・いそがしい・あわただしい・あわてる・あわただし
匜	U+531C	5	イ・タ・ダ
卡	U+5361	5	カ・ソウ・ゾウ・サ
卣	U+5363	7	ユウ・ユ
卽	U+537D	9	ソク・ショク・シキ・つく
厓	U+5393	8	ガイ・ゲ・ギ・がけ
厝	U+539D	10	サク・ソ・ジャク・セキ・おく・まじる
厲	U+53B2	14	ライ・レイ・レツ・はげしい
吒	U+5412	6	タ・しかる
吞	U+541E	7	ドン・トン・テン・のむ
吧	U+5427	7	ハ・ヘ
呍	U+544D	7	ウン
呫	U+546B	8	ショウ・チョウ・テン・ささやく・しゃべる・なめる
呴	U+5474	8	ク・コウ・ふく・ほえる・あためる
呿	U+547F	8	キャ・キョ・キョウ・カ・コ・コウ・ヨウ・ひらく
咈	U+5488	8	ホツ・フツ・ブチ・ヒツ・ビチ
咖	U+5496	8	カ
咜	U+549C	8	タ・しかる
咡	U+54A1	9	ジ・ニ・くち
咩	U+54A9	9	ビ・ミ
哆	U+54C6	9	シ・シャ・タ
哿	U+54FF	10	カ・よい
唎	U+550E	10	リ
唫	U+552B	11	ギン・ゴン・キン・つぐむ
唵	U+5535	11	アン・オン・ふくむ
啐	U+5550	11	サイ・ソツ・セ・セイ・シュチ・シュツ・ガツ・ガチ・こえ・なめる・のむ
啞	U+555E	11	ア・アク・ヤク・おし
喁	U+5581	12	ギョウ・グ・グウ・ゴウ・あおぐ・こえ・あぎとう
喆	U+5586	12	テツ・あきらか
喎	U+558E	12	カ
喭	U+55AD	12	ガン・ゲン・とう・とむらう
嗎	U+55CE	13	バ
嘈	U+5608	14	ソウ・ゾウ・ショウ・ジョウ・かまびすしい
嘎	U+560E	14	カツ・ケチ
嘻	U+563B	15	キ・イ・やわらぐ・わらう・ああ
噉	U+5649	15	タン・ダン・くらう・くらわす・くう
噓	U+5653	15	キョ・コ・うそ
噦	U+5666	16	エツ・カイ・オチ・ケ・エチ・ケイ・しゃくり
噯	U+566F	16	アイ・ガイ・おくび
噱	U+5671	16	キャク・ガク
噲	U+5672	16	カイ・カツ・カチ・ワイ・エ・ケ・あかるい・こころよい・のど
噶	U+5676	15	カチ・カツ・ガ
嚙	U+5699	18	ゴウ・ギョウ・かむ・かじる
嚞	U+569E	18	テツ・あきらか
嚩	U+56A9	19	ハク
嚬	U+56AC	19	ヒン・ビン・ひそめる
嚳	U+56B3	20	コク
囉	U+56C9	22	ラ・もらう
囊	U+56CA	22	ノウ・ドウ・ふくろ
圊	U+570A	11	セイ・ショウ・かわや
圡	U+5721	4	ド・ト・つち
圯	U+572F	6	イ・シ・はし
圳	U+5733	6	シュウ・ジュ・シン・ソン・シュン
圴	U+5734	6	シャク・サク・キン・ととのえる・ひとしい
坰	U+5770	8	ケイ・キョウ
坷	U+5777	8	カ
坼	U+577C	8	タク・チャク・さけめ・さける・ひらく・さく
垜	U+579C	9	ダ・タ・あずち
垸	U+57B8	10	カン・ガン
埇	U+57C7	10	ヨウ・ユ
埈	U+57C8	10	シュン
埏	U+57CF	10	エン・セン・ゼン・こねる・やわらげる・はて
埤	U+57E4	11	ヒ・ヘイ・ビ・あたえる・たすける・ひめがき・ます
埭	U+57ED	11	タイ・ダイ・せき
埵	U+57F5	11	タ・つつみ
埶	U+57F6	11	セイ・ゲイ・いきおい・うえる
埿	U+57FF	11	デイ・ナイ・ハン・バン・どろ
堉	U+5809	11	イク
塡	U+5861	13	チン・テン・ジン・しずめる・つくす・ふさぐ・みたす・やすらか・やむ・うずめる・はめる
塤	U+5864	13	ケン・カン・つちぶえ
塼	U+587C	14	セン・タン・ダン・ゼン・かわら
墉	U+5889	14	ヨウ・ユ・かき
增	U+589E	15	ゾウ・ソウ・ふえる・ふやす・ます
墩	U+58A9	15	トン
壎	U+58CE	17	ケン・クン・カン・つちぶえ
壒	U+58D2	16	カイ・アイ
